,job_title,date_posted
0,Sr SDET,60
1,Site Reliability Engineer,60
2,Senior DevOps Engineer,60
3,OSS DevOps Engineer,60
4,Machine Learning Engineer,60
5,Lead DevOps Engineer ,60
6,Junior Cloud Native Developer,60
7,Sr. Microservices Developer,30
8,Sr SAP PI/PO Developer,30
9,Sr Full Stack Developer,30
10,Blockchain Developer,30
11,Associate Cloud Engineer,30
12,Android Mobile Developer,30
13,Solution Architect,23
14,Associate QA Engineer,23
15,System Engineer,22
16,Embedded Engineer,17
17,Data Scientist Intern,16
18,Cloud Native Developer,14
19,Senior Cloud Specialist,13
20,Sr.QA Engineer,1
